               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.019668,           0.0086623,           0.0016966,             0.99872,             0.99661,             0.99499,             0.85054,            0.014717,           0.0069447,           0.0012639,            0.006064,            0.006064,            0.006064
                 140,            0.019745,            0.008706,           0.0015634,             0.99846,             0.99661,             0.99498,             0.84281,            0.015091,           0.0069446,           0.0012428,           0.0060172,           0.0060172,           0.0060172
                 141,            0.018699,            0.008284,           0.0017549,             0.99783,             0.99661,             0.99499,             0.85223,            0.014477,           0.0068077,           0.0012976,           0.0059704,           0.0059704,           0.0059704
                 142,             0.02032,           0.0088195,           0.0016607,             0.99805,             0.99661,             0.99499,             0.85063,            0.014877,           0.0069251,           0.0012306,           0.0059235,           0.0059235,           0.0059235
                 143,            0.019277,           0.0082702,           0.0014405,             0.99798,             0.99661,             0.99499,             0.85235,            0.014778,           0.0069184,           0.0012145,           0.0058766,           0.0058766,           0.0058766
                 144,            0.018485,           0.0086575,           0.0017213,                   1,              0.9957,               0.995,             0.85444,            0.014497,           0.0068512,           0.0012753,           0.0058296,           0.0058296,           0.0058296
                 145,            0.019328,           0.0083386,           0.0016309,             0.99831,             0.99661,             0.99498,             0.85551,            0.014369,           0.0067889,           0.0012877,           0.0057826,           0.0057826,           0.0057826
                 146,            0.018511,           0.0084043,           0.0015973,             0.99817,             0.99661,             0.99499,             0.85653,            0.014212,           0.0066813,           0.0011871,           0.0057355,           0.0057355,           0.0057355
                 147,            0.018928,           0.0082407,           0.0013187,             0.99866,             0.99661,               0.995,             0.85737,            0.014207,           0.0066688,           0.0011773,           0.0056884,           0.0056884,           0.0056884
                 148,            0.018888,           0.0082098,           0.0017694,             0.99953,             0.99661,               0.995,             0.85332,            0.014383,           0.0066892,           0.0013128,           0.0056413,           0.0056413,           0.0056413
                 149,            0.018067,           0.0080207,           0.0017482,             0.99989,             0.99661,               0.995,              0.8634,              0.0141,           0.0067333,           0.0012693,           0.0055942,           0.0055942,           0.0055942
                 150,            0.018489,           0.0085727,           0.0015222,             0.99988,             0.99661,               0.995,             0.85059,             0.01433,           0.0066167,           0.0011811,           0.0055471,           0.0055471,           0.0055471
                 151,            0.018885,           0.0080993,           0.0012287,             0.99976,             0.99661,               0.995,             0.85435,            0.014258,           0.0066838,           0.0011652,              0.0055,              0.0055,              0.0055
                 152,            0.019185,           0.0083637,           0.0015904,             0.99998,             0.99661,               0.995,             0.86256,            0.013907,           0.0066083,           0.0011582,           0.0054529,           0.0054529,           0.0054529
